num_epochs;batch_size;hidden_size;learning_rate;lr_decay;reg;norm_layer;history_loss_train;history_loss_validation;best_model_valid_accuracy;early_stopped_valid_accuracy;is_early_stopped;train_valid_loss_hist_plot_path;valid_accuracy_plot_path;path_pre_train_filter_plots;path_post_train_filter_plots;best_model_test_accuracy;early_stopped_best_accuracy
5;400;[128, 512, 512, 512, 512];0.001;0.95;0.001;BN;[0.003818345336410088, 0.0027341453113207004, 0.0023364513555193334, 0.0021464661636003634, 0.0019231183620972362];[0.002712343633174896, 0.002488664338986079, 0.002459152638912201, 0.0020141150057315827, 0.002022137592236201];74.5;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.001_0.95_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.001_0.95_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.001_0.95_0.001.png;./post_training_filters/post_training_filters_5_400_0.001_0.95_0.001.png;71.98;nan
5;400;[128, 512, 512, 512, 512];0.001;0.95;0.005;BN;[0.003814365556085013, 0.002936245278129733, 0.0026855456877530105, 0.00252811910054548, 0.0024065479854258097];[0.0038578712940216062, 0.0031190240383148194, 0.0032868614792823793, 0.002707370817661285, 0.0023886688550313314];67.7;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.001_0.95_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.001_0.95_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.001_0.95_0.005.png;./post_training_filters/post_training_filters_5_400_0.001_0.95_0.005.png;68.14;nan
5;400;[128, 512, 512, 512, 512];0.001;0.9;0.001;BN;[0.0037882530131960303, 0.0027189500557213294, 0.002304307093949822, 0.0020554332956065975, 0.0018544829994197782];[0.003044155438741048, 0.0024465214212735496, 0.0019710561136404674, 0.0017866543928782145, 0.0017280972003936767];76.0;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.001_0.9_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.001_0.9_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.001_0.9_0.001.png;./post_training_filters/post_training_filters_5_400_0.001_0.9_0.001.png;75.26;nan
5;400;[128, 512, 512, 512, 512];0.001;0.9;0.005;BN;[0.0037954156185553327, 0.002916850670566404, 0.0026160986503449882, 0.0024579589056774854, 0.002291090298232024];[0.003081807295481364, 0.002956930597623189, 0.0033675812681516013, 0.002695390780766805, 0.002226114869117737];70.9;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.001_0.9_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.001_0.9_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.001_0.9_0.005.png;./post_training_filters/post_training_filters_5_400_0.001_0.9_0.005.png;66.94;nan
5;400;[128, 512, 512, 512, 512];0.002;0.99;0.001;BN;[0.004017868349707223, 0.002974046311242794, 0.0026320661398453443, 0.0023978334956052828, 0.002235565821572048];[0.003572359283765157, 0.003445666035016378, 0.002780725061893463, 0.002604477604230245, 0.0026053320368131];66.2;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.002_0.99_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.002_0.99_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.002_0.99_0.001.png;./post_training_filters/post_training_filters_5_400_0.002_0.99_0.001.png;64.52;nan
5;400;[128, 512, 512, 512, 512];0.002;0.99;0.005;BN;[0.0040382290031851795, 0.0032753707965215047, 0.003030779141236127, 0.002909673428147789, 0.002768472820762696];[0.0036439164479573566, 0.0032130426168441775, 0.0032380993167559304, 0.004471294780572255, 0.003080635368824005];58.5;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.002_0.99_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.002_0.99_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.002_0.99_0.005.png;./post_training_filters/post_training_filters_5_400_0.002_0.99_0.005.png;58.17;nan
5;400;[128, 512, 512, 512, 512];0.002;0.95;0.001;BN;[0.004137237190715666, 0.0030227622414022927, 0.0026409589250882466, 0.0023991940564256375, 0.002195096649532396];[0.003801629344622294, 0.0032871222496032716, 0.002367677241563797, 0.0023847684264183045, 0.002184231380621592];70.9;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.002_0.95_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.002_0.95_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.002_0.95_0.001.png;./post_training_filters/post_training_filters_5_400_0.002_0.95_0.001.png;71.57;nan
5;400;[128, 512, 512, 512, 512];0.002;0.95;0.005;BN;[0.004180297364548939, 0.003304526796185873, 0.0030452951231623084, 0.0029122275041370857, 0.0027414967955612553];[0.004794416129589081, 0.004517212013403575, 0.003214423358440399, 0.003788961072762807, 0.0030994016925493875];58.3;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.002_0.95_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.002_0.95_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.002_0.95_0.005.png;./post_training_filters/post_training_filters_5_400_0.002_0.95_0.005.png;57.95;nan
5;400;[128, 512, 512, 512, 512];0.002;0.9;0.001;BN;[0.004099595750250468, 0.002923677600011593, 0.0025615052079282154, 0.0023030415250033867, 0.0020851568720205043];[0.00431129922469457, 0.0028890384236971538, 0.0032976526021957398, 0.002466034839550654, 0.002125280449787776];71.2;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.002_0.9_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.002_0.9_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.002_0.9_0.001.png;./post_training_filters/post_training_filters_5_400_0.002_0.9_0.001.png;69.12;nan
5;400;[128, 512, 512, 512, 512];0.002;0.9;0.005;BN;[0.0041243058830741945, 0.0032677925432600626, 0.0030022388963195368, 0.002818780649241393, 0.0026481093987216794];[0.0033481194575627647, 0.003459681769212087, 0.003830431699752808, 0.003970637718836467, 0.0043138744433720904];54.0;35.8;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.002_0.9_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.002_0.9_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.002_0.9_0.005.png;./post_training_filters/post_training_filters_5_400_0.002_0.9_0.005.png;37.66;37.66
5;400;[128, 512, 512, 512, 512];0.01;0.99;0.001;BN;[0.005234771714947088, 0.003434566925696241, 0.0029573005607457666, 0.0027521112961013143, 0.0026267480317170057];[0.005667075912157695, 0.0033961435159047446, 0.003049087921778361, 0.0026616235077381134, 0.002326338638861974];68.2;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.01_0.99_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.01_0.99_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.01_0.99_0.001.png;./post_training_filters/post_training_filters_5_400_0.01_0.99_0.001.png;66.34;nan
5;400;[128, 512, 512, 512, 512];0.01;0.99;0.005;BN;[0.005566430346267979, 0.00396226898683765, 0.0034106075279111783, 0.003222936052617019, 0.0031070618004333684];[0.005701466798782349, 0.004478346208731334, 0.0036036647359530133, 0.003234144945939382, 0.0031065266331036885];56.6;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.01_0.99_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.01_0.99_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.01_0.99_0.005.png;./post_training_filters/post_training_filters_5_400_0.01_0.99_0.005.png;55.13;nan
5;400;[128, 512, 512, 512, 512];0.01;0.95;0.001;BN;[0.005307384135761881, 0.0035152994592984516, 0.0029741138122915253, 0.0027447398685342896, 0.0026015898294565153];[0.0045541264613469445, 0.0035761826237042747, 0.00276540865500768, 0.002680413822333018, 0.0025058181087176004];65.8;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.01_0.95_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.01_0.95_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.01_0.95_0.001.png;./post_training_filters/post_training_filters_5_400_0.01_0.95_0.001.png;64.83;nan
5;400;[128, 512, 512, 512, 512];0.01;0.95;0.005;BN;[0.00533362428589565, 0.004005416888531631, 0.0033843978173364467, 0.0031583024016240747, 0.0030277809331087564];[0.005807574192682902, 0.0036680283149083458, 0.003437773585319519, 0.003332584798336029, 0.00272196094195048];62.9;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.01_0.95_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.01_0.95_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.01_0.95_0.005.png;./post_training_filters/post_training_filters_5_400_0.01_0.95_0.005.png;61.43;nan
5;400;[128, 512, 512, 512, 512];0.01;0.9;0.001;BN;[0.005185815095901489, 0.0034359753059177863, 0.002867013780566735, 0.0026418335493502577, 0.002475143110122138];[0.004287067453066508, 0.0036032082637151084, 0.002538802921772003, 0.002721844414869944, 0.002217661092678706];70.5;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.01_0.9_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.01_0.9_0.001.png;./pre_training_filters/pre_training_filters_5_400_0.01_0.9_0.001.png;./post_training_filters/post_training_filters_5_400_0.01_0.9_0.001.png;69.35;nan
5;400;[128, 512, 512, 512, 512];0.01;0.9;0.005;BN;[0.005278869707409929, 0.003964689255245333, 0.003375317359842905, 0.003144931318314095, 0.0029814576690759117];[0.005271904468536377, 0.004697669148445129, 0.0037038469314575194, 0.0036583255728085836, 0.0029435762763023376];58.1;nan;False;./train_valid_history_plots/train_val_loss_hist_5_400_0.01_0.9_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_400_0.01_0.9_0.005.png;./pre_training_filters/pre_training_filters_5_400_0.01_0.9_0.005.png;./post_training_filters/post_training_filters_5_400_0.01_0.9_0.005.png;58.95;nan
10;200;[128, 512, 512, 512, 512];0.001;0.99;0.001;BN;[0.007340019600731986, 0.005508162707698589, 0.00493873435867076, 0.004452513753151407, 0.00410811368056706, 0.0038429346461685337, 0.003516848006418773, 0.003211181802409036, 0.002967741743034246, 0.002714838933579776];[0.00617988395690918, 0.006360782384872437, 0.005013341009616852, 0.0036837680339813234, 0.005685304880142212, 0.0035701292753219606, 0.004366284668445587, 0.0032612534761428833, 0.003606179893016815, 0.003205098748207092];79.4;nan;False;./train_valid_history_plots/train_val_loss_hist_10_200_0.001_0.99_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_10_200_0.001_0.99_0.001.png;./pre_training_filters/pre_training_filters_10_200_0.001_0.99_0.001.png;./post_training_filters/post_training_filters_10_200_0.001_0.99_0.001.png;76.4;nan
10;200;[128, 512, 512, 512, 512];0.001;0.99;0.005;BN;[0.007589468973023551, 0.00624964811607283, 0.005832412927734608, 0.005544498323177805, 0.005283957752646232, 0.004913795608647016, 0.004536973061610241, 0.004276072614046992, 0.0039650919364423165, 0.003798999646488501];[0.006745830297470092, 0.006794021368026733, 0.005411265552043915, 0.007161866784095764, 0.004226527750492096, 0.0056869291067123415, 0.004761550307273865, 0.00392801570892334, 0.004232753038406372, 0.0033279986381530764];77.6;nan;False;./train_valid_history_plots/train_val_loss_hist_10_200_0.001_0.99_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_10_200_0.001_0.99_0.005.png;./pre_training_filters/pre_training_filters_10_200_0.001_0.99_0.005.png;./post_training_filters/post_training_filters_10_200_0.001_0.99_0.005.png;77.6;nan
10;200;[128, 512, 512, 512, 512];0.001;0.95;0.001;BN;[0.007384994207596292, 0.005525664949903683, 0.004848108291625976, 0.004425428778541332, 0.00404411115573377, 0.0036489853846783543, 0.0033108790723644956, 0.0029654144413617193, 0.002648991829886728, 0.0023643403728397525];[0.005875015139579773, 0.005229270398616791, 0.00435824853181839, 0.003983435571193695, 0.0035570138096809385, 0.003742087125778198, 0.0036005951166152954, 0.003024980306625366, 0.003028094232082367, 0.002795474708080292];82.2;nan;False;./train_valid_history_plots/train_val_loss_hist_10_200_0.001_0.95_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_10_200_0.001_0.95_0.001.png;./pre_training_filters/pre_training_filters_10_200_0.001_0.95_0.001.png;./post_training_filters/post_training_filters_10_200_0.001_0.95_0.001.png;80.2;nan
10;200;[128, 512, 512, 512, 512];0.001;0.95;0.005;BN;[0.007588697272904065, 0.006214715872492109, 0.005741734020564021, 0.0054713439734614625, 0.005171558803441573];[0.006333014488220215, 0.005929451584815979, 0.006495491504669189, 0.007149887681007386, 0.009494258284568787];58.3;38.1;False;./train_valid_history_plots/train_val_loss_hist_10_200_0.001_0.95_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_10_200_0.001_0.95_0.005.png;./pre_training_filters/pre_training_filters_10_200_0.001_0.95_0.005.png;./post_training_filters/post_training_filters_10_200_0.001_0.95_0.005.png;40.1;40.1
10;200;[128, 512, 512, 512, 512];0.001;0.9;0.001;BN;[0.007326701028006417, 0.005461882264030223, 0.004771899904523577, 0.0042645694443157744, 0.0038685807500566756, 0.0034455052954810005, 0.003033649688472553, 0.00263127394111789, 0.002224325237225513, 0.0019307117462158204];[0.005567320346832275, 0.005175581634044647, 0.004217757880687714, 0.003959493517875672, 0.003823549032211304, 0.0037041594982147215, 0.003299858868122101, 0.0028615194261074066, 0.0035569286942481993, 0.0025904916524887084];82.6;nan;False;./train_valid_history_plots/train_val_loss_hist_10_200_0.001_0.9_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_10_200_0.001_0.9_0.001.png;./pre_training_filters/pre_training_filters_10_200_0.001_0.9_0.001.png;./post_training_filters/post_training_filters_10_200_0.001_0.9_0.001.png;83.3;nan
10;200;[128, 512, 512, 512, 512];0.001;0.9;0.005;BN;[0.007717595316925827, 0.006260698734497538, 0.00569992724730044, 0.005323741198802481, 0.004996685748197595, 0.004625617557642411, 0.00423029401837563, 0.0038534674729619705, 0.0034950966494424, 0.003133577960486315];[0.008847144722938538, 0.006756484270095825, 0.006124929428100586, 0.006233553051948547, 0.0059412956237792965, 0.004639593660831451, 0.004620274722576141, 0.0050210400223732, 0.002916403949260712, 0.0030263906717300417];79.9;nan;False;./train_valid_history_plots/train_val_loss_hist_10_200_0.001_0.9_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_10_200_0.001_0.9_0.005.png;./pre_training_filters/pre_training_filters_10_200_0.001_0.9_0.005.png;./post_training_filters/post_training_filters_10_200_0.001_0.9_0.005.png;78.6;nan
